python3 02_dqn_n_steps.py --cuda
923: done 1 games, mean reward -20.000, speed 735.73 f/s, eps 0.99
1788: done 2 games, mean reward -20.500, speed 765.48 f/s, eps 0.98
2654: done 3 games, mean reward -20.667, speed 737.29 f/s, eps 0.97
3508: done 4 games, mean reward -20.500, speed 732.41 f/s, eps 0.96
4441: done 5 games, mean reward -20.600, speed 753.41 f/s, eps 0.96
5390: done 6 games, mean reward -20.500, speed 750.61 f/s, eps 0.95
6305: done 7 games, mean reward -20.429, speed 758.29 f/s, eps 0.94
7276: done 8 games, mean reward -20.250, speed 761.91 f/s, eps 0.93
8382: done 9 games, mean reward -20.222, speed 736.36 f/s, eps 0.92
9204: done 10 games, mean reward -20.300, speed 743.79 f/s, eps 0.91
9964: done 11 games, mean reward -20.364, speed 755.20 f/s, eps 0.90
10832: done 12 games, mean reward -20.417, speed 181.83 f/s, eps 0.89
11748: done 13 games, mean reward -20.308, speed 182.05 f/s, eps 0.88
12507: done 14 games, mean reward -20.357, speed 184.47 f/s, eps 0.87
13671: done 15 games, mean reward -20.133, speed 180.91 f/s, eps 0.86
14719: done 16 games, mean reward -20.125, speed 185.02 f/s, eps 0.85
15734: done 17 games, mean reward -20.118, speed 182.79 f/s, eps 0.84
16564: done 18 games, mean reward -20.111, speed 184.96 f/s, eps 0.83
17524: done 19 games, mean reward -20.105, speed 185.31 f/s, eps 0.82
18346: done 20 games, mean reward -20.150, speed 183.18 f/s, eps 0.82
19409: done 21 games, mean reward -20.143, speed 185.57 f/s, eps 0.81
20448: done 22 games, mean reward -20.091, speed 184.54 f/s, eps 0.80
21229: done 23 games, mean reward -20.130, speed 182.62 f/s, eps 0.79
22399: done 24 games, mean reward -20.083, speed 186.22 f/s, eps 0.78
23278: done 25 games, mean reward -20.120, speed 183.59 f/s, eps 0.77
24091: done 26 games, mean reward -20.154, speed 184.74 f/s, eps 0.76
24929: done 27 games, mean reward -20.148, speed 184.48 f/s, eps 0.75
25768: done 28 games, mean reward -20.179, speed 184.81 f/s, eps 0.74
26618: done 29 games, mean reward -20.207, speed 183.40 f/s, eps 0.73
27406: done 30 games, mean reward -20.233, speed 183.72 f/s, eps 0.73
28184: done 31 games, mean reward -20.258, speed 185.20 f/s, eps 0.72
29019: done 32 games, mean reward -20.250, speed 182.61 f/s, eps 0.71
29870: done 33 games, mean reward -20.273, speed 182.91 f/s, eps 0.70
30809: done 34 games, mean reward -20.265, speed 183.68 f/s, eps 0.69
31699: done 35 games, mean reward -20.257, speed 183.85 f/s, eps 0.68
32762: done 36 games, mean reward -20.250, speed 183.32 f/s, eps 0.67
34025: done 37 games, mean reward -20.189, speed 184.52 f/s, eps 0.66
34924: done 38 games, mean reward -20.211, speed 185.26 f/s, eps 0.65
35912: done 39 games, mean reward -20.205, speed 185.14 f/s, eps 0.64
37121: done 40 games, mean reward -20.175, speed 184.11 f/s, eps 0.63
38209: done 41 games, mean reward -20.171, speed 183.16 f/s, eps 0.62
39471: done 42 games, mean reward -20.095, speed 183.79 f/s, eps 0.61
40373: done 43 games, mean reward -20.116, speed 183.88 f/s, eps 0.60
41513: done 44 games, mean reward -20.114, speed 184.12 f/s, eps 0.58
42740: done 45 games, mean reward -20.089, speed 183.64 f/s, eps 0.57
44057: done 46 games, mean reward -20.043, speed 183.66 f/s, eps 0.56
45185: done 47 games, mean reward -20.021, speed 181.84 f/s, eps 0.55
46420: done 48 games, mean reward -19.979, speed 184.14 f/s, eps 0.54
47952: done 49 games, mean reward -19.898, speed 183.85 f/s, eps 0.52
49283: done 50 games, mean reward -19.880, speed 184.08 f/s, eps 0.51
50737: done 51 games, mean reward -19.863, speed 182.93 f/s, eps 0.49
52234: done 52 games, mean reward -19.846, speed 184.89 f/s, eps 0.48
53967: done 53 games, mean reward -19.811, speed 183.20 f/s, eps 0.46
55107: done 54 games, mean reward -19.833, speed 184.23 f/s, eps 0.45
56503: done 55 games, mean reward -19.782, speed 182.90 f/s, eps 0.43
58238: done 56 games, mean reward -19.732, speed 183.17 f/s, eps 0.42
59464: done 57 games, mean reward -19.737, speed 183.12 f/s, eps 0.41
61284: done 58 games, mean reward -19.638, speed 184.15 f/s, eps 0.39
62925: done 59 games, mean reward -19.593, speed 182.95 f/s, eps 0.37
64933: done 60 games, mean reward -19.483, speed 183.34 f/s, eps 0.35
66356: done 61 games, mean reward -19.475, speed 183.58 f/s, eps 0.34
67761: done 62 games, mean reward -19.468, speed 183.96 f/s, eps 0.32
69453: done 63 games, mean reward -19.397, speed 182.40 f/s, eps 0.31
70873: done 64 games, mean reward -19.359, speed 183.88 f/s, eps 0.29
72601: done 65 games, mean reward -19.354, speed 182.45 f/s, eps 0.27
74402: done 66 games, mean reward -19.333, speed 178.22 f/s, eps 0.26
76394: done 67 games, mean reward -19.254, speed 181.33 f/s, eps 0.24
78250: done 68 games, mean reward -19.265, speed 176.58 f/s, eps 0.22
79881: done 69 games, mean reward -19.275, speed 178.12 f/s, eps 0.20
81955: done 70 games, mean reward -19.200, speed 178.48 f/s, eps 0.18
84818: done 71 games, mean reward -19.085, speed 178.35 f/s, eps 0.15
86579: done 72 games, mean reward -19.069, speed 180.43 f/s, eps 0.13
88752: done 73 games, mean reward -19.027, speed 179.46 f/s, eps 0.11
90741: done 74 games, mean reward -19.000, speed 182.87 f/s, eps 0.09
92837: done 75 games, mean reward -19.000, speed 178.83 f/s, eps 0.07
94677: done 76 games, mean reward -18.947, speed 180.54 f/s, eps 0.05
97518: done 77 games, mean reward -18.870, speed 184.45 f/s, eps 0.02
101036: done 78 games, mean reward -18.744, speed 183.99 f/s, eps 0.02
103564: done 79 games, mean reward -18.747, speed 184.01 f/s, eps 0.02
106257: done 80 games, mean reward -18.712, speed 183.71 f/s, eps 0.02
109493: done 81 games, mean reward -18.679, speed 178.29 f/s, eps 0.02
112413: done 82 games, mean reward -18.634, speed 180.64 f/s, eps 0.02
115154: done 83 games, mean reward -18.602, speed 173.69 f/s, eps 0.02
118436: done 84 games, mean reward -18.595, speed 181.49 f/s, eps 0.02
122255: done 85 games, mean reward -18.541, speed 177.15 f/s, eps 0.02
125772: done 86 games, mean reward -18.488, speed 178.25 f/s, eps 0.02
129179: done 87 games, mean reward -18.402, speed 183.13 f/s, eps 0.02
132926: done 88 games, mean reward -18.307, speed 181.64 f/s, eps 0.02
135699: done 89 games, mean reward -18.236, speed 181.22 f/s, eps 0.02
138877: done 90 games, mean reward -18.189, speed 179.18 f/s, eps 0.02
141554: done 91 games, mean reward -18.154, speed 177.68 f/s, eps 0.02
144966: done 92 games, mean reward -18.065, speed 180.94 f/s, eps 0.02
147716: done 93 games, mean reward -18.000, speed 181.01 f/s, eps 0.02
151600: done 94 games, mean reward -17.904, speed 178.32 f/s, eps 0.02
155387: done 95 games, mean reward -17.737, speed 169.96 f/s, eps 0.02
158997: done 96 games, mean reward -17.615, speed 180.43 f/s, eps 0.02
162663: done 97 games, mean reward -17.505, speed 179.95 f/s, eps 0.02
166440: done 98 games, mean reward -17.398, speed 178.23 f/s, eps 0.02
169444: done 99 games, mean reward -17.384, speed 178.57 f/s, eps 0.02
172566: done 100 games, mean reward -17.330, speed 179.26 f/s, eps 0.02
177977: done 101 games, mean reward -17.150, speed 179.99 f/s, eps 0.02
180614: done 102 games, mean reward -17.080, speed 178.60 f/s, eps 0.02
184582: done 103 games, mean reward -16.950, speed 182.22 f/s, eps 0.02
187008: done 104 games, mean reward -16.890, speed 173.93 f/s, eps 0.02
189586: done 105 games, mean reward -16.830, speed 178.99 f/s, eps 0.02
193592: done 106 games, mean reward -16.680, speed 184.79 f/s, eps 0.02
197592: done 107 games, mean reward -16.540, speed 185.84 f/s, eps 0.02
202045: done 108 games, mean reward -16.310, speed 186.29 f/s, eps 0.02
205283: done 109 games, mean reward -16.000, speed 181.52 f/s, eps 0.02
209609: done 110 games, mean reward -15.780, speed 176.76 f/s, eps 0.02
213814: done 111 games, mean reward -15.620, speed 182.05 f/s, eps 0.02
217825: done 112 games, mean reward -15.400, speed 185.40 f/s, eps 0.02
222594: done 113 games, mean reward -15.160, speed 186.25 f/s, eps 0.02
227096: done 114 games, mean reward -14.940, speed 187.08 f/s, eps 0.02
231110: done 115 games, mean reward -14.690, speed 183.37 f/s, eps 0.02
235114: done 116 games, mean reward -14.410, speed 185.89 f/s, eps 0.02
238558: done 117 games, mean reward -14.110, speed 186.82 f/s, eps 0.02
242067: done 118 games, mean reward -13.810, speed 185.37 f/s, eps 0.02
245726: done 119 games, mean reward -13.530, speed 186.06 f/s, eps 0.02
250574: done 120 games, mean reward -13.260, speed 185.73 f/s, eps 0.02
255125: done 121 games, mean reward -13.010, speed 181.64 f/s, eps 0.02
257534: done 122 games, mean reward -12.640, speed 185.14 f/s, eps 0.02
261032: done 123 games, mean reward -12.310, speed 178.76 f/s, eps 0.02
265186: done 124 games, mean reward -12.070, speed 178.45 f/s, eps 0.02
268092: done 125 games, mean reward -11.700, speed 175.19 f/s, eps 0.02
271077: done 126 games, mean reward -11.370, speed 166.25 f/s, eps 0.02
273911: done 127 games, mean reward -11.020, speed 168.43 f/s, eps 0.02
277501: done 128 games, mean reward -10.690, speed 169.86 f/s, eps 0.02
280477: done 129 games, mean reward -10.380, speed 172.16 f/s, eps 0.02
283658: done 130 games, mean reward -10.050, speed 165.95 f/s, eps 0.02
286458: done 131 games, mean reward -9.680, speed 166.87 f/s, eps 0.02
289176: done 132 games, mean reward -9.310, speed 168.18 f/s, eps 0.02
291951: done 133 games, mean reward -8.970, speed 164.35 f/s, eps 0.02
293921: done 134 games, mean reward -8.560, speed 167.20 f/s, eps 0.02
296712: done 135 games, mean reward -8.220, speed 168.65 f/s, eps 0.02
299723: done 136 games, mean reward -7.890, speed 176.05 f/s, eps 0.02
302830: done 137 games, mean reward -7.590, speed 179.36 f/s, eps 0.02
305100: done 138 games, mean reward -7.210, speed 181.26 f/s, eps 0.02
307697: done 139 games, mean reward -6.860, speed 178.94 f/s, eps 0.02
310238: done 140 games, mean reward -6.520, speed 181.38 f/s, eps 0.02
312441: done 141 games, mean reward -6.130, speed 175.67 f/s, eps 0.02
315611: done 142 games, mean reward -5.850, speed 178.96 f/s, eps 0.02
318184: done 143 games, mean reward -5.510, speed 175.33 f/s, eps 0.02
321490: done 144 games, mean reward -5.210, speed 169.07 f/s, eps 0.02
324521: done 145 games, mean reward -4.870, speed 171.43 f/s, eps 0.02
327444: done 146 games, mean reward -4.540, speed 169.06 f/s, eps 0.02
329793: done 147 games, mean reward -4.170, speed 170.68 f/s, eps 0.02
332953: done 148 games, mean reward -3.910, speed 171.75 f/s, eps 0.02
335322: done 149 games, mean reward -3.610, speed 174.51 f/s, eps 0.02
338001: done 150 games, mean reward -3.250, speed 182.15 f/s, eps 0.02
340743: done 151 games, mean reward -2.920, speed 181.43 f/s, eps 0.02
