python3 03_dqn_double.py --cuda --double
896: done 1 games, mean reward -20.000, speed 756.66 f/s, eps 0.99
1715: done 2 games, mean reward -20.500, speed 743.74 f/s, eps 0.98
2735: done 3 games, mean reward -20.333, speed 789.33 f/s, eps 0.97
3714: done 4 games, mean reward -20.250, speed 780.15 f/s, eps 0.96
4612: done 5 games, mean reward -20.200, speed 765.45 f/s, eps 0.95
5370: done 6 games, mean reward -20.333, speed 773.20 f/s, eps 0.95
6133: done 7 games, mean reward -20.429, speed 786.30 f/s, eps 0.94
7014: done 8 games, mean reward -20.500, speed 775.35 f/s, eps 0.93
8242: done 9 games, mean reward -20.111, speed 743.98 f/s, eps 0.92
9125: done 10 games, mean reward -20.100, speed 735.04 f/s, eps 0.91
9946: done 11 games, mean reward -20.182, speed 752.15 f/s, eps 0.90
10783: done 12 games, mean reward -20.167, speed 160.26 f/s, eps 0.89
11802: done 13 games, mean reward -20.154, speed 157.95 f/s, eps 0.88
12737: done 14 games, mean reward -20.214, speed 159.33 f/s, eps 0.87
13542: done 15 games, mean reward -20.267, speed 165.93 f/s, eps 0.86
14300: done 16 games, mean reward -20.312, speed 168.51 f/s, eps 0.86
15148: done 17 games, mean reward -20.294, speed 167.95 f/s, eps 0.85
16083: done 18 games, mean reward -20.278, speed 160.64 f/s, eps 0.84
16924: done 19 games, mean reward -20.263, speed 162.54 f/s, eps 0.83
17992: done 20 games, mean reward -20.200, speed 167.36 f/s, eps 0.82
19088: done 21 games, mean reward -20.095, speed 167.70 f/s, eps 0.81
20294: done 22 games, mean reward -20.045, speed 167.48 f/s, eps 0.80
21341: done 23 games, mean reward -20.043, speed 167.05 f/s, eps 0.79
22365: done 24 games, mean reward -20.000, speed 168.23 f/s, eps 0.78
23529: done 25 games, mean reward -19.920, speed 167.55 f/s, eps 0.76
24443: done 26 games, mean reward -19.923, speed 167.85 f/s, eps 0.76
25263: done 27 games, mean reward -19.963, speed 168.02 f/s, eps 0.75
26387: done 28 games, mean reward -19.929, speed 157.07 f/s, eps 0.74
27206: done 29 games, mean reward -19.966, speed 163.82 f/s, eps 0.73
28183: done 30 games, mean reward -19.933, speed 168.50 f/s, eps 0.72
29052: done 31 games, mean reward -19.968, speed 161.11 f/s, eps 0.71
29949: done 32 games, mean reward -19.969, speed 155.79 f/s, eps 0.70
30831: done 33 games, mean reward -19.970, speed 153.22 f/s, eps 0.69
31671: done 34 games, mean reward -20.000, speed 148.19 f/s, eps 0.68
32545: done 35 games, mean reward -20.029, speed 149.01 f/s, eps 0.67
