python3 04_dqn_noisy_net.py --cuda
760: done 1 games, mean reward -21.000, speed 637.78 f/s
1518: done 2 games, mean reward -21.000, speed 628.60 f/s
2274: done 3 games, mean reward -21.000, speed 646.28 f/s
3034: done 4 games, mean reward -21.000, speed 649.67 f/s
3795: done 5 games, mean reward -21.000, speed 671.74 f/s
4556: done 6 games, mean reward -21.000, speed 681.39 f/s
5318: done 7 games, mean reward -21.000, speed 673.69 f/s
6074: done 8 games, mean reward -21.000, speed 671.97 f/s
6836: done 9 games, mean reward -21.000, speed 641.43 f/s
7597: done 10 games, mean reward -21.000, speed 666.08 f/s
8358: done 11 games, mean reward -21.000, speed 672.23 f/s
9117: done 12 games, mean reward -21.000, speed 662.06 f/s
9875: done 13 games, mean reward -21.000, speed 688.14 f/s
10711: done 14 games, mean reward -20.929, speed 178.33 f/s
11570: done 15 games, mean reward -20.933, speed 148.67 f/s
12452: done 16 games, mean reward -20.938, speed 148.14 f/s
13397: done 17 games, mean reward -20.882, speed 151.23 f/s
14294: done 18 games, mean reward -20.833, speed 150.34 f/s
15116: done 19 games, mean reward -20.842, speed 156.84 f/s
15937: done 20 games, mean reward -20.850, speed 156.20 f/s
16816: done 21 games, mean reward -20.857, speed 148.80 f/s
17606: done 22 games, mean reward -20.864, speed 148.96 f/s
18504: done 23 games, mean reward -20.826, speed 147.41 f/s
19352: done 24 games, mean reward -20.833, speed 154.40 f/s
20235: done 25 games, mean reward -20.840, speed 151.70 f/s
21309: done 26 games, mean reward -20.731, speed 150.10 f/s
22145: done 27 games, mean reward -20.704, speed 154.32 f/s
22926: done 28 games, mean reward -20.714, speed 152.45 f/s
23761: done 29 games, mean reward -20.690, speed 152.07 f/s
24639: done 30 games, mean reward -20.700, speed 152.02 f/s
25429: done 31 games, mean reward -20.710, speed 154.73 f/s
26252: done 32 games, mean reward -20.719, speed 152.98 f/s
27149: done 33 games, mean reward -20.697, speed 149.25 f/s
27989: done 34 games, mean reward -20.676, speed 151.46 f/s
28884: done 35 games, mean reward -20.657, speed 152.85 f/s
29839: done 36 games, mean reward -20.639, speed 150.23 f/s
30707: done 37 games, mean reward -20.649, speed 154.05 f/s
31547: done 38 games, mean reward -20.632, speed 154.69 f/s
32457: done 39 games, mean reward -20.641, speed 156.58 f/s
33380: done 40 games, mean reward -20.625, speed 152.69 f/s
34142: done 41 games, mean reward -20.634, speed 149.80 f/s
35013: done 42 games, mean reward -20.643, speed 152.54 f/s
35836: done 43 games, mean reward -20.651, speed 152.29 f/s
36643: done 44 games, mean reward -20.659, speed 149.21 f/s
37614: done 45 games, mean reward -20.667, speed 151.34 f/s
38511: done 46 games, mean reward -20.652, speed 151.90 f/s
39381: done 47 games, mean reward -20.638, speed 150.96 f/s
40361: done 48 games, mean reward -20.604, speed 154.91 f/s
41270: done 49 games, mean reward -20.592, speed 155.78 f/s
42165: done 50 games, mean reward -20.580, speed 150.58 f/s
43244: done 51 games, mean reward -20.549, speed 147.97 f/s
44099: done 52 games, mean reward -20.558, speed 152.25 f/s
45115: done 53 games, mean reward -20.547, speed 152.32 f/s
46283: done 54 games, mean reward -20.481, speed 154.77 f/s
47411: done 55 games, mean reward -20.473, speed 156.86 f/s
48233: done 56 games, mean reward -20.482, speed 152.79 f/s
49112: done 57 games, mean reward -20.491, speed 149.10 f/s
49892: done 58 games, mean reward -20.500, speed 149.45 f/s
50895: done 59 games, mean reward -20.492, speed 154.25 f/s
51867: done 60 games, mean reward -20.467, speed 150.53 f/s
52704: done 61 games, mean reward -20.459, speed 148.95 f/s
53486: done 62 games, mean reward -20.468, speed 156.50 f/s
54305: done 63 games, mean reward -20.476, speed 154.90 f/s
55142: done 64 games, mean reward -20.469, speed 157.73 f/s
55933: done 65 games, mean reward -20.477, speed 155.82 f/s
56692: done 66 games, mean reward -20.485, speed 157.91 f/s
57735: done 67 games, mean reward -20.478, speed 153.22 f/s
58648: done 68 games, mean reward -20.471, speed 153.12 f/s
59433: done 69 games, mean reward -20.478, speed 151.84 f/s
60317: done 70 games, mean reward -20.486, speed 154.05 f/s
61184: done 71 games, mean reward -20.493, speed 154.10 f/s
62171: done 72 games, mean reward -20.486, speed 153.96 f/s
62989: done 73 games, mean reward -20.493, speed 157.05 f/s
63810: done 74 games, mean reward -20.500, speed 155.60 f/s
64824: done 75 games, mean reward -20.480, speed 153.58 f/s
65923: done 76 games, mean reward -20.447, speed 150.93 f/s
66744: done 77 games, mean reward -20.455, speed 148.11 f/s
67623: done 78 games, mean reward -20.449, speed 147.39 f/s
68591: done 79 games, mean reward -20.456, speed 147.39 f/s
69526: done 80 games, mean reward -20.462, speed 149.53 f/s
70331: done 81 games, mean reward -20.469, speed 155.15 f/s
71197: done 82 games, mean reward -20.476, speed 151.32 f/s
72014: done 83 games, mean reward -20.482, speed 144.92 f/s
73002: done 84 games, mean reward -20.476, speed 154.13 f/s
74090: done 85 games, mean reward -20.482, speed 151.92 f/s
75145: done 86 games, mean reward -20.453, speed 155.35 f/s
76187: done 87 games, mean reward -20.448, speed 155.41 f/s
77165: done 88 games, mean reward -20.432, speed 155.22 f/s
78082: done 89 games, mean reward -20.427, speed 154.14 f/s
78891: done 90 games, mean reward -20.433, speed 153.71 f/s
79925: done 91 games, mean reward -20.429, speed 153.63 f/s
80770: done 92 games, mean reward -20.435, speed 155.70 f/s
81635: done 93 games, mean reward -20.441, speed 156.52 f/s
82626: done 94 games, mean reward -20.426, speed 158.33 f/s
83666: done 95 games, mean reward -20.411, speed 156.83 f/s
84489: done 96 games, mean reward -20.417, speed 153.12 f/s
85418: done 97 games, mean reward -20.402, speed 156.56 f/s
86263: done 98 games, mean reward -20.408, speed 150.55 f/s
87072: done 99 games, mean reward -20.414, speed 155.94 f/s
87911: done 100 games, mean reward -20.420, speed 156.76 f/s
88791: done 101 games, mean reward -20.420, speed 156.96 f/s
89675: done 102 games, mean reward -20.410, speed 157.45 f/s
90465: done 103 games, mean reward -20.410, speed 158.44 f/s
91334: done 104 games, mean reward -20.410, speed 157.56 f/s
92231: done 105 games, mean reward -20.400, speed 158.57 f/s
92988: done 106 games, mean reward -20.400, speed 155.70 f/s
93870: done 107 games, mean reward -20.400, speed 156.73 f/s
94749: done 108 games, mean reward -20.400, speed 157.38 f/s
95660: done 109 games, mean reward -20.390, speed 157.77 f/s
96494: done 110 games, mean reward -20.380, speed 156.26 f/s
97425: done 111 games, mean reward -20.370, speed 156.54 f/s
98420: done 112 games, mean reward -20.350, speed 156.61 f/s
99349: done 113 games, mean reward -20.350, speed 157.64 f/s
100197: done 114 games, mean reward -20.360, speed 156.67 f/s
101201: done 115 games, mean reward -20.350, speed 157.00 f/s
101963: done 116 games, mean reward -20.350, speed 156.01 f/s
102823: done 117 games, mean reward -20.360, speed 155.43 f/s
103809: done 118 games, mean reward -20.360, speed 157.08 f/s
104638: done 119 games, mean reward -20.350, speed 156.63 f/s
105627: done 120 games, mean reward -20.340, speed 156.75 f/s
106653: done 121 games, mean reward -20.310, speed 151.75 f/s
107476: done 122 games, mean reward -20.310, speed 152.17 f/s
108528: done 123 games, mean reward -20.300, speed 148.18 f/s
109444: done 124 games, mean reward -20.290, speed 147.88 f/s
110339: done 125 games, mean reward -20.290, speed 151.99 f/s
111102: done 126 games, mean reward -20.320, speed 153.71 f/s
112012: done 127 games, mean reward -20.330, speed 151.67 f/s
112829: done 128 games, mean reward -20.330, speed 150.73 f/s
113664: done 129 games, mean reward -20.330, speed 153.16 f/s
114480: done 130 games, mean reward -20.330, speed 152.61 f/s
115237: done 131 games, mean reward -20.330, speed 153.12 f/s
116019: done 132 games, mean reward -20.330, speed 152.50 f/s
116899: done 133 games, mean reward -20.340, speed 152.00 f/s
117695: done 134 games, mean reward -20.350, speed 153.93 f/s
118611: done 135 games, mean reward -20.350, speed 152.47 f/s
119489: done 136 games, mean reward -20.360, speed 151.18 f/s
120369: done 137 games, mean reward -20.360, speed 153.27 f/s
121221: done 138 games, mean reward -20.370, speed 153.39 f/s
122233: done 139 games, mean reward -20.350, speed 152.58 f/s
123191: done 140 games, mean reward -20.350, speed 153.03 f/s
124245: done 141 games, mean reward -20.320, speed 156.58 f/s
125032: done 142 games, mean reward -20.320, speed 155.69 f/s
125947: done 143 games, mean reward -20.310, speed 151.95 f/s
126853: done 144 games, mean reward -20.310, speed 155.13 f/s
127763: done 145 games, mean reward -20.310, speed 151.29 f/s
128682: done 146 games, mean reward -20.310, speed 154.60 f/s
129463: done 147 games, mean reward -20.320, speed 155.99 f/s
130276: done 148 games, mean reward -20.340, speed 154.74 f/s
131116: done 149 games, mean reward -20.350, speed 152.67 f/s
131951: done 150 games, mean reward -20.350, speed 149.42 f/s
132787: done 151 games, mean reward -20.370, speed 153.44 f/s
133731: done 152 games, mean reward -20.360, speed 153.48 f/s
134623: done 153 games, mean reward -20.360, speed 154.78 f/s
135468: done 154 games, mean reward -20.400, speed 150.98 f/s
136319: done 155 games, mean reward -20.400, speed 153.92 f/s
137075: done 156 games, mean reward -20.400, speed 152.69 f/s
137899: done 157 games, mean reward -20.400, speed 153.57 f/s
138992: done 158 games, mean reward -20.370, speed 153.39 f/s
139947: done 159 games, mean reward -20.370, speed 151.61 f/s
140896: done 160 games, mean reward -20.380, speed 150.28 f/s
141719: done 161 games, mean reward -20.390, speed 147.90 f/s
142560: done 162 games, mean reward -20.390, speed 152.26 f/s
143487: done 163 games, mean reward -20.380, speed 147.40 f/s
144334: done 164 games, mean reward -20.390, speed 147.58 f/s
145235: done 165 games, mean reward -20.380, speed 148.74 f/s
146073: done 166 games, mean reward -20.380, speed 152.45 f/s
147090: done 167 games, mean reward -20.370, speed 148.88 f/s
148046: done 168 games, mean reward -20.370, speed 150.58 f/s
149014: done 169 games, mean reward -20.370, speed 146.54 f/s
149804: done 170 games, mean reward -20.370, speed 149.35 f/s
150783: done 171 games, mean reward -20.350, speed 150.62 f/s
151780: done 172 games, mean reward -20.360, speed 152.10 f/s
152616: done 173 games, mean reward -20.350, speed 154.58 f/s
153616: done 174 games, mean reward -20.350, speed 156.36 f/s
154480: done 175 games, mean reward -20.370, speed 156.89 f/s
155237: done 176 games, mean reward -20.400, speed 156.60 f/s
156106: done 177 games, mean reward -20.400, speed 155.30 f/s
156986: done 178 games, mean reward -20.410, speed 155.36 f/s
157883: done 179 games, mean reward -20.400, speed 152.30 f/s
158862: done 180 games, mean reward -20.390, speed 148.32 f/s
159646: done 181 games, mean reward -20.390, speed 147.20 f/s
