873: done 1 games, mean reward -21.000, speed 40.77 f/s
2061: done 2 games, mean reward -20.000, speed 40.78 f/s
3012: done 3 games, mean reward -20.000, speed 40.53 f/s
3922: done 4 games, mean reward -20.250, speed 40.19 f/s
4819: done 5 games, mean reward -20.200, speed 40.82 f/s
6004: done 6 games, mean reward -20.000, speed 38.70 f/s
6906: done 7 games, mean reward -20.143, speed 39.65 f/s
7801: done 8 games, mean reward -20.250, speed 39.21 f/s
8708: done 9 games, mean reward -20.333, speed 40.69 f/s
9846: done 10 games, mean reward -20.300, speed 40.07 f/s
10668: done 11 games, mean reward -20.364, speed 7.73 f/s
11459: done 12 games, mean reward -20.417, speed 6.34 f/s
12292: done 13 games, mean reward -20.385, speed 6.21 f/s
13049: done 14 games, mean reward -20.429, speed 6.13 f/s
13889: done 15 games, mean reward -20.400, speed 5.96 f/s
14650: done 16 games, mean reward -20.438, speed 5.87 f/s
15434: done 17 games, mean reward -20.471, speed 5.77 f/s
16195: done 18 games, mean reward -20.500, speed 5.74 f/s
16957: done 19 games, mean reward -20.526, speed 5.72 f/s
17744: done 20 games, mean reward -20.550, speed 5.72 f/s
18584: done 21 games, mean reward -20.524, speed 5.69 f/s
19415: done 22 games, mean reward -20.500, speed 5.70 f/s
20253: done 23 games, mean reward -20.478, speed 5.66 f/s
21091: done 24 games, mean reward -20.458, speed 5.65 f/s
21942: done 25 games, mean reward -20.480, speed 5.65 f/s
22776: done 26 games, mean reward -20.462, speed 5.64 f/s
23614: done 27 games, mean reward -20.444, speed 5.63 f/s
24389: done 28 games, mean reward -20.464, speed 5.64 f/s
25212: done 29 games, mean reward -20.483, speed 5.61 f/s
26046: done 30 games, mean reward -20.467, speed 5.63 f/s
26927: done 31 games, mean reward -20.484, speed 5.63 f/s
27705: done 32 games, mean reward -20.500, speed 5.63 f/s
28527: done 33 games, mean reward -20.515, speed 5.63 f/s
29312: done 34 games, mean reward -20.529, speed 5.64 f/s
30159: done 35 games, mean reward -20.543, speed 5.60 f/s
30996: done 36 games, mean reward -20.528, speed 5.60 f/s
31897: done 37 games, mean reward -20.514, speed 5.58 f/s
32688: done 38 games, mean reward -20.526, speed 5.58 f/s
33505: done 39 games, mean reward -20.538, speed 5.61 f/s
34342: done 40 games, mean reward -20.525, speed 5.58 f/s
35099: done 41 games, mean reward -20.537, speed 5.59 f/s
35923: done 42 games, mean reward -20.548, speed 5.58 f/s
36759: done 43 games, mean reward -20.535, speed 5.56 f/s
37597: done 44 games, mean reward -20.523, speed 5.59 f/s
38438: done 45 games, mean reward -20.511, speed 5.58 f/s
39262: done 46 games, mean reward -20.522, speed 5.58 f/s
40098: done 47 games, mean reward -20.511, speed 5.57 f/s
40928: done 48 games, mean reward -20.500, speed 5.58 f/s
41747: done 49 games, mean reward -20.510, speed 5.55 f/s
42579: done 50 games, mean reward -20.500, speed 5.55 f/s
