python3 08_dqn_rainbow.py --cuda
763: done 1 games, mean reward -21.000, speed 519.53 f/s
1519: done 2 games, mean reward -21.000, speed 526.21 f/s
2282: done 3 games, mean reward -21.000, speed 517.44 f/s
3041: done 4 games, mean reward -21.000, speed 512.31 f/s
3798: done 5 games, mean reward -21.000, speed 520.46 f/s
4559: done 6 games, mean reward -21.000, speed 525.00 f/s
5315: done 7 games, mean reward -21.000, speed 527.56 f/s
6075: done 8 games, mean reward -21.000, speed 529.20 f/s
6836: done 9 games, mean reward -21.000, speed 529.50 f/s
7597: done 10 games, mean reward -21.000, speed 525.05 f/s
8358: done 11 games, mean reward -21.000, speed 529.70 f/s
9120: done 12 games, mean reward -21.000, speed 528.06 f/s
9881: done 13 games, mean reward -21.000, speed 529.37 f/s
10638: done 14 games, mean reward -21.000, speed 94.11 f/s
11394: done 15 games, mean reward -21.000, speed 83.91 f/s
12153: done 16 games, mean reward -21.000, speed 81.20 f/s
12910: done 17 games, mean reward -21.000, speed 81.04 f/s
13666: done 18 games, mean reward -21.000, speed 79.99 f/s
14424: done 19 games, mean reward -21.000, speed 80.21 f/s
15186: done 20 games, mean reward -21.000, speed 80.52 f/s
15948: done 21 games, mean reward -21.000, speed 80.14 f/s
16704: done 22 games, mean reward -21.000, speed 80.24 f/s
17463: done 23 games, mean reward -21.000, speed 80.34 f/s
18220: done 24 games, mean reward -21.000, speed 80.62 f/s
18980: done 25 games, mean reward -21.000, speed 80.10 f/s
19742: done 26 games, mean reward -21.000, speed 80.31 f/s
20502: done 27 games, mean reward -21.000, speed 80.01 f/s
21265: done 28 games, mean reward -21.000, speed 79.83 f/s
22022: done 29 games, mean reward -21.000, speed 80.33 f/s
22782: done 30 games, mean reward -21.000, speed 80.03 f/s
23545: done 31 games, mean reward -21.000, speed 80.10 f/s
24303: done 32 games, mean reward -21.000, speed 79.73 f/s
25062: done 33 games, mean reward -21.000, speed 80.03 f/s
25819: done 34 games, mean reward -21.000, speed 80.09 f/s
26582: done 35 games, mean reward -21.000, speed 80.53 f/s
27341: done 36 games, mean reward -21.000, speed 80.25 f/s
28098: done 37 games, mean reward -21.000, speed 80.71 f/s
28860: done 38 games, mean reward -21.000, speed 80.30 f/s
29622: done 39 games, mean reward -21.000, speed 80.48 f/s
30383: done 40 games, mean reward -21.000, speed 80.72 f/s
31139: done 41 games, mean reward -21.000, speed 80.45 f/s
