DQN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
30: reward:  28.00, mean_100:  28.00, epsilon: 0.99, episodes: 1
41: reward:  10.00, mean_100:  19.00, epsilon: 0.99, episodes: 2
61: reward:  19.00, mean_100:  19.00, epsilon: 0.99, episodes: 3
72: reward:  10.00, mean_100:  16.75, epsilon: 0.99, episodes: 4
97: reward:  24.00, mean_100:  18.20, epsilon: 0.98, episodes: 5
133: reward:  35.00, mean_100:  21.00, epsilon: 0.97, episodes: 6
150: reward:  16.00, mean_100:  20.29, epsilon: 0.97, episodes: 7
161: reward:  10.00, mean_100:  19.00, epsilon: 0.97, episodes: 8
175: reward:  13.00, mean_100:  18.33, epsilon: 0.96, episodes: 9
189: reward:  13.00, mean_100:  17.80, epsilon: 0.96, episodes: 10
201: reward:  11.00, mean_100:  17.18, epsilon: 0.96, episodes: 11
216: reward:  14.00, mean_100:  16.92, epsilon: 0.96, episodes: 12
247: reward:  30.00, mean_100:  17.92, epsilon: 0.95, episodes: 13
275: reward:  27.00, mean_100:  18.57, epsilon: 0.94, episodes: 14
287: reward:  11.00, mean_100:  18.07, epsilon: 0.94, episodes: 15
312: reward:  24.00, mean_100:  18.44, epsilon: 0.94, episodes: 16
332: reward:  19.00, mean_100:  18.47, epsilon: 0.93, episodes: 17
350: reward:  17.00, mean_100:  18.39, epsilon: 0.93, episodes: 18
363: reward:  12.00, mean_100:  18.05, epsilon: 0.93, episodes: 19
442: reward:  78.00, mean_100:  21.05, epsilon: 0.91, episodes: 20
455: reward:  12.00, mean_100:  20.62, epsilon: 0.91, episodes: 21
472: reward:  16.00, mean_100:  20.41, epsilon: 0.91, episodes: 22
527: reward:  54.00, mean_100:  21.87, epsilon: 0.89, episodes: 23
541: reward:  13.00, mean_100:  21.50, epsilon: 0.89, episodes: 24
563: reward:  21.00, mean_100:  21.48, epsilon: 0.89, episodes: 25
578: reward:  14.00, mean_100:  21.19, epsilon: 0.88, episodes: 26
603: reward:  24.00, mean_100:  21.30, epsilon: 0.88, episodes: 27
627: reward:  23.00, mean_100:  21.36, epsilon: 0.87, episodes: 28
683: reward:  55.00, mean_100:  22.52, epsilon: 0.86, episodes: 29
695: reward:  11.00, mean_100:  22.13, epsilon: 0.86, episodes: 30
737: reward:  41.00, mean_100:  22.74, epsilon: 0.85, episodes: 31
753: reward:  15.00, mean_100:  22.50, epsilon: 0.85, episodes: 32
785: reward:  31.00, mean_100:  22.76, epsilon: 0.84, episodes: 33
794: reward:   8.00, mean_100:  22.32, epsilon: 0.84, episodes: 34
808: reward:  13.00, mean_100:  22.06, epsilon: 0.84, episodes: 35
841: reward:  32.00, mean_100:  22.33, epsilon: 0.83, episodes: 36
854: reward:  12.00, mean_100:  22.05, epsilon: 0.83, episodes: 37
865: reward:  10.00, mean_100:  21.74, epsilon: 0.83, episodes: 38
878: reward:  12.00, mean_100:  21.49, epsilon: 0.82, episodes: 39
914: reward:  35.00, mean_100:  21.82, epsilon: 0.82, episodes: 40
943: reward:  28.00, mean_100:  21.98, epsilon: 0.81, episodes: 41
968: reward:  24.00, mean_100:  22.02, epsilon: 0.81, episodes: 42
987: reward:  18.00, mean_100:  21.93, epsilon: 0.80, episodes: 43
1004: reward:  16.00, mean_100:  21.80, epsilon: 0.80, episodes: 44
1098: reward:  93.00, mean_100:  23.38, epsilon: 0.78, episodes: 45
1129: reward:  30.00, mean_100:  23.52, epsilon: 0.77, episodes: 46
1180: reward:  50.00, mean_100:  24.09, epsilon: 0.76, episodes: 47
1192: reward:  11.00, mean_100:  23.81, epsilon: 0.76, episodes: 48
1251: reward:  58.00, mean_100:  24.51, epsilon: 0.75, episodes: 49
1264: reward:  12.00, mean_100:  24.26, epsilon: 0.75, episodes: 50
1291: reward:  26.00, mean_100:  24.29, epsilon: 0.74, episodes: 51
1304: reward:  12.00, mean_100:  24.06, epsilon: 0.74, episodes: 52
1326: reward:  21.00, mean_100:  24.00, epsilon: 0.73, episodes: 53
1369: reward:  42.00, mean_100:  24.33, epsilon: 0.73, episodes: 54
1412: reward:  42.00, mean_100:  24.65, epsilon: 0.72, episodes: 55
1435: reward:  22.00, mean_100:  24.61, epsilon: 0.71, episodes: 56
1454: reward:  18.00, mean_100:  24.49, epsilon: 0.71, episodes: 57
1479: reward:  24.00, mean_100:  24.48, epsilon: 0.70, episodes: 58
1518: reward:  38.00, mean_100:  24.71, epsilon: 0.70, episodes: 59
1577: reward:  58.00, mean_100:  25.27, epsilon: 0.68, episodes: 60
1598: reward:  20.00, mean_100:  25.18, epsilon: 0.68, episodes: 61
1629: reward:  30.00, mean_100:  25.26, epsilon: 0.67, episodes: 62
1651: reward:  21.00, mean_100:  25.19, epsilon: 0.67, episodes: 63
1725: reward:  73.00, mean_100:  25.94, epsilon: 0.66, episodes: 64
1752: reward:  26.00, mean_100:  25.94, epsilon: 0.65, episodes: 65
1767: reward:  14.00, mean_100:  25.76, epsilon: 0.65, episodes: 66
1811: reward:  43.00, mean_100:  26.01, epsilon: 0.64, episodes: 67
1837: reward:  25.00, mean_100:  26.00, epsilon: 0.63, episodes: 68
1881: reward:  43.00, mean_100:  26.25, epsilon: 0.62, episodes: 69
1924: reward:  42.00, mean_100:  26.47, epsilon: 0.62, episodes: 70
1997: reward:  72.00, mean_100:  27.11, epsilon: 0.60, episodes: 71
2042: reward:  44.00, mean_100:  27.35, epsilon: 0.59, episodes: 72
2085: reward:  42.00, mean_100:  27.55, epsilon: 0.58, episodes: 73
2125: reward:  39.00, mean_100:  27.70, epsilon: 0.57, episodes: 74
2178: reward:  52.00, mean_100:  28.03, epsilon: 0.56, episodes: 75
2225: reward:  46.00, mean_100:  28.26, epsilon: 0.55, episodes: 76
2244: reward:  18.00, mean_100:  28.13, epsilon: 0.55, episodes: 77
2362: reward: 117.00, mean_100:  29.27, epsilon: 0.53, episodes: 78
2414: reward:  51.00, mean_100:  29.54, epsilon: 0.52, episodes: 79
2440: reward:  25.00, mean_100:  29.49, epsilon: 0.51, episodes: 80
2483: reward:  42.00, mean_100:  29.64, epsilon: 0.50, episodes: 81
2504: reward:  20.00, mean_100:  29.52, epsilon: 0.50, episodes: 82
2563: reward:  58.00, mean_100:  29.87, epsilon: 0.49, episodes: 83
2645: reward:  81.00, mean_100:  30.48, epsilon: 0.47, episodes: 84
2670: reward:  24.00, mean_100:  30.40, epsilon: 0.47, episodes: 85
2698: reward:  27.00, mean_100:  30.36, epsilon: 0.46, episodes: 86
2740: reward:  41.00, mean_100:  30.48, epsilon: 0.45, episodes: 87
2800: reward:  59.00, mean_100:  30.81, epsilon: 0.44, episodes: 88
2861: reward:  60.00, mean_100:  31.13, epsilon: 0.43, episodes: 89
2899: reward:  37.00, mean_100:  31.20, epsilon: 0.42, episodes: 90
2934: reward:  34.00, mean_100:  31.23, epsilon: 0.41, episodes: 91
2978: reward:  43.00, mean_100:  31.36, epsilon: 0.40, episodes: 92
3024: reward:  45.00, mean_100:  31.51, epsilon: 0.40, episodes: 93
3056: reward:  31.00, mean_100:  31.50, epsilon: 0.39, episodes: 94
3176: reward: 119.00, mean_100:  32.42, epsilon: 0.36, episodes: 95
3209: reward:  32.00, mean_100:  32.42, epsilon: 0.36, episodes: 96
3236: reward:  26.00, mean_100:  32.35, epsilon: 0.35, episodes: 97
3298: reward:  61.00, mean_100:  32.64, epsilon: 0.34, episodes: 98
3356: reward:  57.00, mean_100:  32.89, epsilon: 0.33, episodes: 99
3402: reward:  45.00, mean_100:  33.01, epsilon: 0.32, episodes: 100
3449: reward:  46.00, mean_100:  33.19, epsilon: 0.31, episodes: 101
3508: reward:  58.00, mean_100:  33.67, epsilon: 0.30, episodes: 102
3542: reward:  33.00, mean_100:  33.81, epsilon: 0.29, episodes: 103
3597: reward:  54.00, mean_100:  34.25, epsilon: 0.28, episodes: 104
3649: reward:  51.00, mean_100:  34.52, epsilon: 0.27, episodes: 105
3726: reward:  76.00, mean_100:  34.93, epsilon: 0.25, episodes: 106
3772: reward:  45.00, mean_100:  35.22, epsilon: 0.25, episodes: 107
3820: reward:  47.00, mean_100:  35.59, epsilon: 0.24, episodes: 108
3888: reward:  67.00, mean_100:  36.13, epsilon: 0.22, episodes: 109
3922: reward:  33.00, mean_100:  36.33, epsilon: 0.22, episodes: 110
3988: reward:  65.00, mean_100:  36.87, epsilon: 0.20, episodes: 111
4025: reward:  36.00, mean_100:  37.09, epsilon: 0.19, episodes: 112
4091: reward:  65.00, mean_100:  37.44, epsilon: 0.18, episodes: 113
4144: reward:  52.00, mean_100:  37.69, epsilon: 0.17, episodes: 114
4193: reward:  48.00, mean_100:  38.06, epsilon: 0.16, episodes: 115
4273: reward:  79.00, mean_100:  38.61, epsilon: 0.15, episodes: 116
4303: reward:  29.00, mean_100:  38.71, epsilon: 0.14, episodes: 117
4356: reward:  52.00, mean_100:  39.06, epsilon: 0.13, episodes: 118
4399: reward:  42.00, mean_100:  39.36, epsilon: 0.12, episodes: 119
4443: reward:  43.00, mean_100:  39.01, epsilon: 0.11, episodes: 120
4616: reward: 172.00, mean_100:  40.61, epsilon: 0.08, episodes: 121
4663: reward:  46.00, mean_100:  40.91, epsilon: 0.07, episodes: 122
4704: reward:  40.00, mean_100:  40.77, epsilon: 0.06, episodes: 123
4756: reward:  51.00, mean_100:  41.15, epsilon: 0.05, episodes: 124
4822: reward:  65.00, mean_100:  41.59, epsilon: 0.04, episodes: 125
4872: reward:  49.00, mean_100:  41.94, epsilon: 0.03, episodes: 126
4921: reward:  48.00, mean_100:  42.18, epsilon: 0.02, episodes: 127
4970: reward:  48.00, mean_100:  42.43, epsilon: 0.02, episodes: 128
5030: reward:  59.00, mean_100:  42.47, epsilon: 0.02, episodes: 129
5098: reward:  67.00, mean_100:  43.03, epsilon: 0.02, episodes: 130
5184: reward:  85.00, mean_100:  43.47, epsilon: 0.02, episodes: 131
5218: reward:  33.00, mean_100:  43.65, epsilon: 0.02, episodes: 132
5255: reward:  36.00, mean_100:  43.70, epsilon: 0.02, episodes: 133
5312: reward:  56.00, mean_100:  44.18, epsilon: 0.02, episodes: 134
5391: reward:  78.00, mean_100:  44.83, epsilon: 0.02, episodes: 135
5526: reward: 134.00, mean_100:  45.85, epsilon: 0.02, episodes: 136
5597: reward:  70.00, mean_100:  46.43, epsilon: 0.02, episodes: 137
5671: reward:  73.00, mean_100:  47.06, epsilon: 0.02, episodes: 138
5753: reward:  81.00, mean_100:  47.75, epsilon: 0.02, episodes: 139
5848: reward:  94.00, mean_100:  48.34, epsilon: 0.02, episodes: 140
5983: reward: 134.00, mean_100:  49.40, epsilon: 0.02, episodes: 141
6090: reward: 106.00, mean_100:  50.22, epsilon: 0.02, episodes: 142
6291: reward: 200.00, mean_100:  52.04, epsilon: 0.02, episodes: 143
6371: reward:  79.00, mean_100:  52.67, epsilon: 0.02, episodes: 144
6464: reward:  92.00, mean_100:  52.66, epsilon: 0.02, episodes: 145
6664: reward: 199.00, mean_100:  54.35, epsilon: 0.02, episodes: 146
6806: reward: 141.00, mean_100:  55.26, epsilon: 0.02, episodes: 147
6918: reward: 111.00, mean_100:  56.26, epsilon: 0.02, episodes: 148
7119: reward: 200.00, mean_100:  57.68, epsilon: 0.02, episodes: 149
7320: reward: 200.00, mean_100:  59.56, epsilon: 0.02, episodes: 150
7521: reward: 200.00, mean_100:  61.30, epsilon: 0.02, episodes: 151
7695: reward: 173.00, mean_100:  62.91, epsilon: 0.02, episodes: 152
7896: reward: 200.00, mean_100:  64.70, epsilon: 0.02, episodes: 153
8097: reward: 200.00, mean_100:  66.28, epsilon: 0.02, episodes: 154
8298: reward: 200.00, mean_100:  67.86, epsilon: 0.02, episodes: 155
8499: reward: 200.00, mean_100:  69.64, epsilon: 0.02, episodes: 156
8700: reward: 200.00, mean_100:  71.46, epsilon: 0.02, episodes: 157
8901: reward: 200.00, mean_100:  73.22, epsilon: 0.02, episodes: 158
9035: reward: 133.00, mean_100:  74.17, epsilon: 0.02, episodes: 159
9230: reward: 194.00, mean_100:  75.53, epsilon: 0.02, episodes: 160
9409: reward: 178.00, mean_100:  77.11, epsilon: 0.02, episodes: 161
9610: reward: 200.00, mean_100:  78.81, epsilon: 0.02, episodes: 162
