PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
60: reward:  59.00, mean_100:  59.00, episodes: 1
72: reward:  11.00, mean_100:  35.00, episodes: 2
106: reward:  33.00, mean_100:  34.33, episodes: 3
119: reward:  12.00, mean_100:  28.75, episodes: 4
140: reward:  20.00, mean_100:  27.00, episodes: 5
161: reward:  20.00, mean_100:  25.83, episodes: 6
214: reward:  52.00, mean_100:  29.57, episodes: 7
228: reward:  13.00, mean_100:  27.50, episodes: 8
238: reward:  10.00, mean_100:  25.56, episodes: 9
252: reward:  13.00, mean_100:  24.30, episodes: 10
279: reward:  26.00, mean_100:  24.45, episodes: 11
302: reward:  22.00, mean_100:  24.25, episodes: 12
322: reward:  19.00, mean_100:  23.85, episodes: 13
354: reward:  31.00, mean_100:  24.36, episodes: 14
380: reward:  25.00, mean_100:  24.40, episodes: 15
404: reward:  23.00, mean_100:  24.31, episodes: 16
429: reward:  24.00, mean_100:  24.29, episodes: 17
462: reward:  32.00, mean_100:  24.72, episodes: 18
482: reward:  19.00, mean_100:  24.42, episodes: 19
503: reward:  20.00, mean_100:  24.20, episodes: 20
533: reward:  29.00, mean_100:  24.43, episodes: 21
559: reward:  25.00, mean_100:  24.45, episodes: 22
589: reward:  29.00, mean_100:  24.65, episodes: 23
648: reward:  58.00, mean_100:  26.04, episodes: 24
691: reward:  42.00, mean_100:  26.68, episodes: 25
717: reward:  25.00, mean_100:  26.62, episodes: 26
763: reward:  45.00, mean_100:  27.30, episodes: 27
787: reward:  23.00, mean_100:  27.14, episodes: 28
806: reward:  18.00, mean_100:  26.83, episodes: 29
855: reward:  48.00, mean_100:  27.53, episodes: 30
875: reward:  19.00, mean_100:  27.26, episodes: 31
903: reward:  27.00, mean_100:  27.25, episodes: 32
939: reward:  35.00, mean_100:  27.48, episodes: 33
989: reward:  49.00, mean_100:  28.12, episodes: 34
1029: reward:  39.00, mean_100:  28.43, episodes: 35
1064: reward:  34.00, mean_100:  28.58, episodes: 36
1084: reward:  19.00, mean_100:  28.32, episodes: 37
1106: reward:  21.00, mean_100:  28.13, episodes: 38
1133: reward:  26.00, mean_100:  28.08, episodes: 39
1186: reward:  52.00, mean_100:  28.68, episodes: 40
1258: reward:  71.00, mean_100:  29.71, episodes: 41
1282: reward:  23.00, mean_100:  29.55, episodes: 42
1305: reward:  22.00, mean_100:  29.37, episodes: 43
1323: reward:  17.00, mean_100:  29.09, episodes: 44
1343: reward:  19.00, mean_100:  28.87, episodes: 45
1369: reward:  25.00, mean_100:  28.78, episodes: 46
1390: reward:  20.00, mean_100:  28.60, episodes: 47
1464: reward:  73.00, mean_100:  29.52, episodes: 48
1509: reward:  44.00, mean_100:  29.82, episodes: 49
1540: reward:  30.00, mean_100:  29.82, episodes: 50
1556: reward:  15.00, mean_100:  29.53, episodes: 51
1625: reward:  68.00, mean_100:  30.27, episodes: 52
1658: reward:  32.00, mean_100:  30.30, episodes: 53
1704: reward:  45.00, mean_100:  30.57, episodes: 54
1811: reward: 106.00, mean_100:  31.95, episodes: 55
1915: reward: 103.00, mean_100:  33.21, episodes: 56
1975: reward:  59.00, mean_100:  33.67, episodes: 57
2051: reward:  75.00, mean_100:  34.38, episodes: 58
2149: reward:  97.00, mean_100:  35.44, episodes: 59
2181: reward:  31.00, mean_100:  35.37, episodes: 60
2337: reward: 155.00, mean_100:  37.33, episodes: 61
2395: reward:  57.00, mean_100:  37.65, episodes: 62
2531: reward: 135.00, mean_100:  39.19, episodes: 63
2704: reward: 172.00, mean_100:  41.27, episodes: 64
2768: reward:  63.00, mean_100:  41.60, episodes: 65
2828: reward:  59.00, mean_100:  41.86, episodes: 66
2894: reward:  65.00, mean_100:  42.21, episodes: 67
2934: reward:  39.00, mean_100:  42.16, episodes: 68
3046: reward: 111.00, mean_100:  43.16, episodes: 69
3088: reward:  41.00, mean_100:  43.13, episodes: 70
3154: reward:  65.00, mean_100:  43.44, episodes: 71
3179: reward:  24.00, mean_100:  43.17, episodes: 72
3380: reward: 200.00, mean_100:  45.32, episodes: 73
3523: reward: 142.00, mean_100:  46.62, episodes: 74
3580: reward:  56.00, mean_100:  46.75, episodes: 75
3659: reward:  78.00, mean_100:  47.16, episodes: 76
3860: reward: 200.00, mean_100:  49.14, episodes: 77
4061: reward: 200.00, mean_100:  51.08, episodes: 78
4183: reward: 121.00, mean_100:  51.96, episodes: 79
4216: reward:  32.00, mean_100:  51.71, episodes: 80
4250: reward:  33.00, mean_100:  51.48, episodes: 81
4451: reward: 200.00, mean_100:  53.29, episodes: 82
4652: reward: 200.00, mean_100:  55.06, episodes: 83
4732: reward:  79.00, mean_100:  55.35, episodes: 84
4830: reward:  97.00, mean_100:  55.84, episodes: 85
4972: reward: 141.00, mean_100:  56.83, episodes: 86
5166: reward: 193.00, mean_100:  58.39, episodes: 87
5319: reward: 152.00, mean_100:  59.45, episodes: 88
5466: reward: 146.00, mean_100:  60.43, episodes: 89
5667: reward: 200.00, mean_100:  61.98, episodes: 90
5868: reward: 200.00, mean_100:  63.49, episodes: 91
5946: reward:  77.00, mean_100:  63.64, episodes: 92
6147: reward: 200.00, mean_100:  65.11, episodes: 93
6282: reward: 134.00, mean_100:  65.84, episodes: 94
6363: reward:  80.00, mean_100:  65.99, episodes: 95
6488: reward: 124.00, mean_100:  66.59, episodes: 96
6562: reward:  73.00, mean_100:  66.66, episodes: 97
6600: reward:  37.00, mean_100:  66.36, episodes: 98
6731: reward: 130.00, mean_100:  67.00, episodes: 99
6932: reward: 200.00, mean_100:  68.33, episodes: 100
7133: reward: 200.00, mean_100:  69.74, episodes: 101
7334: reward: 200.00, mean_100:  71.63, episodes: 102
7535: reward: 200.00, mean_100:  73.30, episodes: 103
7736: reward: 200.00, mean_100:  75.18, episodes: 104
7937: reward: 200.00, mean_100:  76.98, episodes: 105
8024: reward:  86.00, mean_100:  77.64, episodes: 106
8219: reward: 194.00, mean_100:  79.06, episodes: 107
8330: reward: 110.00, mean_100:  80.03, episodes: 108
8531: reward: 200.00, mean_100:  81.93, episodes: 109
8605: reward:  73.00, mean_100:  82.53, episodes: 110
8806: reward: 200.00, mean_100:  84.27, episodes: 111
9007: reward: 200.00, mean_100:  86.05, episodes: 112
9208: reward: 200.00, mean_100:  87.86, episodes: 113
9409: reward: 200.00, mean_100:  89.55, episodes: 114
9610: reward: 200.00, mean_100:  91.30, episodes: 115
9811: reward: 200.00, mean_100:  93.07, episodes: 116
10012: reward: 200.00, mean_100:  94.83, episodes: 117
10213: reward: 200.00, mean_100:  96.51, episodes: 118
10414: reward: 200.00, mean_100:  98.32, episodes: 119
10615: reward: 200.00, mean_100: 100.12, episodes: 120
10745: reward: 129.00, mean_100: 101.12, episodes: 121
10945: reward: 199.00, mean_100: 102.86, episodes: 122
11146: reward: 200.00, mean_100: 104.57, episodes: 123
11279: reward: 132.00, mean_100: 105.31, episodes: 124
11480: reward: 200.00, mean_100: 106.89, episodes: 125
11653: reward: 172.00, mean_100: 108.36, episodes: 126
11821: reward: 167.00, mean_100: 109.58, episodes: 127
12022: reward: 200.00, mean_100: 111.35, episodes: 128
12188: reward: 165.00, mean_100: 112.82, episodes: 129
12377: reward: 188.00, mean_100: 114.22, episodes: 130
12578: reward: 200.00, mean_100: 116.03, episodes: 131
12779: reward: 200.00, mean_100: 117.76, episodes: 132
12980: reward: 200.00, mean_100: 119.41, episodes: 133
13181: reward: 200.00, mean_100: 120.92, episodes: 134
13372: reward: 190.00, mean_100: 122.43, episodes: 135
13573: reward: 200.00, mean_100: 124.09, episodes: 136
13774: reward: 200.00, mean_100: 125.90, episodes: 137
13975: reward: 200.00, mean_100: 127.69, episodes: 138
14162: reward: 186.00, mean_100: 129.29, episodes: 139
14363: reward: 200.00, mean_100: 130.77, episodes: 140
14564: reward: 200.00, mean_100: 132.06, episodes: 141
14765: reward: 200.00, mean_100: 133.83, episodes: 142
14966: reward: 200.00, mean_100: 135.61, episodes: 143
15167: reward: 200.00, mean_100: 137.44, episodes: 144
15368: reward: 200.00, mean_100: 139.25, episodes: 145
15569: reward: 200.00, mean_100: 141.00, episodes: 146
