python3 03_pong_a2c_rollouts.py --cuda -n test0
AtariA2C(
  (conv): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (policy): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=6, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
12352: done 1 games, mean reward -21.000, speed 924.18 f/s
12992: done 2 games, mean reward -21.000, speed 929.89 f/s
13056: done 3 games, mean reward -21.000, speed 796.00 f/s
13120: done 4 games, mean reward -21.000, speed 824.76 f/s
14528: done 5 games, mean reward -20.800, speed 939.59 f/s
14720: done 6 games, mean reward -20.833, speed 903.82 f/s
14848: done 7 games, mean reward -20.857, speed 908.44 f/s
14912: done 8 games, mean reward -20.875, speed 776.39 f/s
15104: done 9 games, mean reward -20.778, speed 925.22 f/s
15232: done 10 games, mean reward -20.700, speed 876.35 f/s
15424: done 11 games, mean reward -20.727, speed 896.23 f/s
15552: done 12 games, mean reward -20.667, speed 921.12 f/s
16896: done 13 games, mean reward -20.538, speed 960.88 f/s
18112: done 14 games, mean reward -20.429, speed 956.82 f/s
25408: done 15 games, mean reward -20.467, speed 962.08 f/s
26112: done 16 games, mean reward -20.500, speed 946.57 f/s
26176: done 17 games, mean reward -20.529, speed 846.07 f/s
27136: done 18 games, mean reward -20.556, speed 960.45 f/s
27392: done 19 games, mean reward -20.579, speed 917.00 f/s
27904: done 20 games, mean reward -20.550, speed 948.78 f/s
27968: done 21 games, mean reward -20.571, speed 862.39 f/s
28096: done 22 games, mean reward -20.545, speed 904.54 f/s
28736: done 23 games, mean reward -20.522, speed 945.64 f/s
28800: done 24 games, mean reward -20.542, speed 831.58 f/s
29440: done 25 games, mean reward -20.520, speed 945.14 f/s
29568: done 26 games, mean reward -20.519, speed 845.68 f/s
30272: done 27 games, mean reward -20.500, speed 947.21 f/s
32128: done 28 games, mean reward -20.518, speed 943.59 f/s
32832: done 29 games, mean reward -20.500, speed 947.61 f/s
38528: done 30 games, mean reward -20.517, speed 914.93 f/s
39552: done 31 games, mean reward -20.500, speed 929.88 f/s
40192: done 32 games, mean reward -20.516, speed 917.79 f/s
40640: done 33 games, mean reward -20.500, speed 936.95 f/s
41088: done 34 games, mean reward -20.515, speed 942.18 f/s
41152: done 35 games, mean reward -20.514, speed 760.34 f/s
41280: done 36 games, mean reward -20.528, speed 911.46 f/s
41344: done 37 games, mean reward -20.541, speed 882.95 f/s
41984: done 38 games, mean reward -20.526, speed 942.50 f/s
42624: done 39 games, mean reward -20.538, speed 937.97 f/s
42688: done 40 games, mean reward -20.550, speed 835.16 f/s
42880: done 41 games, mean reward -20.537, speed 894.77 f/s
42944: done 42 games, mean reward -20.524, speed 819.65 f/s
45440: done 43 games, mean reward -20.512, speed 941.26 f/s
45952: done 44 games, mean reward -20.523, speed 949.34 f/s
51840: done 45 games, mean reward -20.511, speed 960.08 f/s
52672: done 46 games, mean reward -20.522, speed 966.35 f/s
53120: done 47 games, mean reward -20.532, speed 932.01 f/s
53568: done 48 games, mean reward -20.521, speed 990.09 f/s
53632: done 49 games, mean reward -20.531, speed 840.45 f/s
53760: done 50 games, mean reward -20.540, speed 913.44 f/s
54336: done 51 games, mean reward -20.549, speed 980.54 f/s
54400: done 52 games, mean reward -20.558, speed 885.41 f/s
54912: done 53 games, mean reward -20.547, speed 995.87 f/s
55552: done 54 games, mean reward -20.556, speed 888.93 f/s
56000: done 55 games, mean reward -20.564, speed 897.23 f/s
56064: done 56 games, mean reward -20.554, speed 813.63 f/s
58048: done 57 games, mean reward -20.561, speed 921.73 f/s
58432: done 58 games, mean reward -20.552, speed 972.53 f/s
58496: done 59 games, mean reward -20.559, speed 886.99 f/s
58560: done 60 games, mean reward -20.567, speed 887.25 f/s
66176: done 61 games, mean reward -20.574, speed 980.98 f/s
66432: done 62 games, mean reward -20.565, speed 947.83 f/s
66560: done 63 games, mean reward -20.556, speed 882.54 f/s
66752: done 64 games, mean reward -20.562, speed 878.83 f/s
67520: done 65 games, mean reward -20.569, speed 941.98 f/s
67776: done 66 games, mean reward -20.561, speed 946.93 f/s
68096: done 67 games, mean reward -20.567, speed 950.42 f/s
68480: done 68 games, mean reward -20.574, speed 920.69 f/s
68544: done 69 games, mean reward -20.580, speed 855.46 f/s
69376: done 70 games, mean reward -20.571, speed 946.21 f/s
69504: done 71 games, mean reward -20.563, speed 862.95 f/s
70848: done 72 games, mean reward -20.569, speed 953.56 f/s
71168: done 73 games, mean reward -20.575, speed 940.25 f/s
72384: done 74 games, mean reward -20.568, speed 952.93 f/s
72576: done 75 games, mean reward -20.560, speed 907.46 f/s
79168: done 76 games, mean reward -20.566, speed 961.95 f/s
79232: done 77 games, mean reward -20.571, speed 858.91 f/s
80192: done 78 games, mean reward -20.564, speed 953.39 f/s
80256: done 79 games, mean reward -20.570, speed 843.69 f/s
80576: done 80 games, mean reward -20.575, speed 908.10 f/s
81152: done 81 games, mean reward -20.568, speed 946.45 f/s
81600: done 82 games, mean reward -20.573, speed 939.75 f/s
81728: done 83 games, mean reward -20.578, speed 911.62 f/s
82496: done 84 games, mean reward -20.583, speed 950.03 f/s
82624: done 85 games, mean reward -20.588, speed 871.40 f/s
83584: done 86 games, mean reward -20.593, speed 957.92 f/s
84672: done 87 games, mean reward -20.592, speed 938.87 f/s
84864: done 88 games, mean reward -20.574, speed 885.91 f/s
85440: done 89 games, mean reward -20.579, speed 945.41 f/s
90944: done 90 games, mean reward -20.572, speed 964.30 f/s
92288: done 91 games, mean reward -20.577, speed 968.34 f/s
93248: done 92 games, mean reward -20.582, speed 982.09 f/s
93888: done 93 games, mean reward -20.575, speed 969.23 f/s
94208: done 94 games, mean reward -20.580, speed 929.19 f/s
94976: done 95 games, mean reward -20.574, speed 937.22 f/s
95232: done 96 games, mean reward -20.578, speed 932.72 f/s
96320: done 97 games, mean reward -20.572, speed 955.39 f/s
96512: done 98 games, mean reward -20.556, speed 924.95 f/s
97664: done 99 games, mean reward -20.561, speed 947.87 f/s
97728: done 100 games, mean reward -20.555, speed 831.41 f/s
98112: done 101 games, mean reward -20.555, speed 937.72 f/s
98432: done 102 games, mean reward -20.555, speed 925.45 f/s
98624: done 103 games, mean reward -20.535, speed 922.90 f/s
99392: done 104 games, mean reward -20.525, speed 972.52 f/s
99840: done 105 games, mean reward -20.515, speed 959.45 f/s
106304: done 106 games, mean reward -20.515, speed 963.42 f/s
106816: done 107 games, mean reward -20.495, speed 948.25 f/s
107392: done 108 games, mean reward -20.495, speed 957.86 f/s
108160: done 109 games, mean reward -20.495, speed 972.42 f/s
108288: done 110 games, mean reward -20.485, speed 896.13 f/s
108544: done 111 games, mean reward -20.485, speed 958.71 f/s
108736: done 112 games, mean reward -20.465, speed 934.78 f/s
109120: done 113 games, mean reward -20.475, speed 960.84 f/s
109568: done 114 games, mean reward -20.495, speed 935.56 f/s
110912: done 115 games, mean reward -20.495, speed 942.31 f/s
111936: done 116 games, mean reward -20.495, speed 962.13 f/s
112384: done 117 games, mean reward -20.495, speed 934.49 f/s
113088: done 118 games, mean reward -20.495, speed 960.39 f/s
113984: done 119 games, mean reward -20.485, speed 962.48 f/s
115648: done 120 games, mean reward -20.475, speed 990.14 f/s
116032: done 121 games, mean reward -20.455, speed 960.13 f/s
118976: done 122 games, mean reward -20.465, speed 983.41 f/s
121088: done 123 games, mean reward -20.475, speed 958.59 f/s
121216: done 124 games, mean reward -20.465, speed 876.08 f/s
121408: done 125 games, mean reward -20.475, speed 912.35 f/s
122112: done 126 games, mean reward -20.480, speed 952.52 f/s
122240: done 127 games, mean reward -20.490, speed 910.91 f/s
124736: done 128 games, mean reward -20.480, speed 992.36 f/s
124928: done 129 games, mean reward -20.490, speed 954.92 f/s
125120: done 130 games, mean reward -20.490, speed 935.25 f/s
125440: done 131 games, mean reward -20.490, speed 977.07 f/s
125632: done 132 games, mean reward -20.470, speed 958.61 f/s
126208: done 133 games, mean reward -20.480, speed 941.06 f/s
128128: done 134 games, mean reward -20.480, speed 959.42 f/s
129856: done 135 games, mean reward -20.485, speed 984.51 f/s
131008: done 136 games, mean reward -20.485, speed 989.40 f/s
131584: done 137 games, mean reward -20.485, speed 990.98 f/s
133184: done 138 games, mean reward -20.495, speed 1001.47 f/s
134272: done 139 games, mean reward -20.495, speed 975.04 f/s
134400: done 140 games, mean reward -20.495, speed 912.53 f/s
134528: done 141 games, mean reward -20.505, speed 937.63 f/s
136256: done 142 games, mean reward -20.505, speed 1000.42 f/s
136832: done 143 games, mean reward -20.515, speed 991.87 f/s
137216: done 144 games, mean reward -20.515, speed 912.86 f/s
137728: done 145 games, mean reward -20.525, speed 960.13 f/s
137856: done 146 games, mean reward -20.515, speed 853.43 f/s
139136: done 147 games, mean reward -20.505, speed 1000.79 f/s
139328: done 148 games, mean reward -20.515, speed 967.43 f/s
140288: done 149 games, mean reward -20.515, speed 1000.33 f/s
140480: done 150 games, mean reward -20.495, speed 936.24 f/s
142976: done 151 games, mean reward -20.495, speed 991.23 f/s
144960: done 152 games, mean reward -20.495, speed 981.22 f/s
145344: done 153 games, mean reward -20.505, speed 926.21 f/s
145536: done 154 games, mean reward -20.505, speed 968.01 f/s
146496: done 155 games, mean reward -20.505, speed 986.50 f/s
146688: done 156 games, mean reward -20.515, speed 960.72 f/s
148096: done 157 games, mean reward -20.505, speed 994.06 f/s
148416: done 158 games, mean reward -20.515, speed 952.07 f/s
149824: done 159 games, mean reward -20.515, speed 975.47 f/s
150208: done 160 games, mean reward -20.515, speed 967.06 f/s
151296: done 161 games, mean reward -20.515, speed 984.52 f/s
151488: done 162 games, mean reward -20.525, speed 952.92 f/s
151872: done 163 games, mean reward -20.535, speed 967.43 f/s
152704: done 164 games, mean reward -20.535, speed 982.21 f/s
152896: done 165 games, mean reward -20.535, speed 952.69 f/s
153856: done 166 games, mean reward -20.535, speed 981.69 f/s
156480: done 167 games, mean reward -20.535, speed 986.53 f/s
158848: done 168 games, mean reward -20.535, speed 983.98 f/s
158976: done 169 games, mean reward -20.535, speed 940.29 f/s
159424: done 170 games, mean reward -20.535, speed 967.09 f/s
159552: done 171 games, mean reward -20.545, speed 924.01 f/s
161792: done 172 games, mean reward -20.535, speed 974.38 f/s
162880: done 173 games, mean reward -20.535, speed 970.61 f/s
163968: done 174 games, mean reward -20.545, speed 983.81 f/s
164096: done 175 games, mean reward -20.555, speed 933.55 f/s
164800: done 176 games, mean reward -20.555, speed 965.41 f/s
165248: done 177 games, mean reward -20.555, speed 964.30 f/s
165760: done 178 games, mean reward -20.545, speed 976.38 f/s
165952: done 179 games, mean reward -20.545, speed 914.40 f/s
166592: done 180 games, mean reward -20.535, speed 944.78 f/s
167040: done 181 games, mean reward -20.545, speed 931.79 f/s
172416: done 182 games, mean reward -20.545, speed 968.43 f/s
172800: done 183 games, mean reward -20.535, speed 960.53 f/s
173312: done 184 games, mean reward -20.515, speed 989.46 f/s
173760: done 185 games, mean reward -20.505, speed 965.75 f/s
174976: done 186 games, mean reward -20.485, speed 955.97 f/s
176064: done 187 games, mean reward -20.480, speed 955.95 f/s
177792: done 188 games, mean reward -20.490, speed 966.89 f/s
178752: done 189 games, mean reward -20.480, speed 972.18 f/s
179776: done 190 games, mean reward -20.480, speed 965.61 f/s
179840: done 191 games, mean reward -20.480, speed 824.57 f/s
180352: done 192 games, mean reward -20.470, speed 977.73 f/s
180480: done 193 games, mean reward -20.470, speed 904.95 f/s
182208: done 194 games, mean reward -20.460, speed 960.81 f/s
183168: done 195 games, mean reward -20.450, speed 957.39 f/s
183360: done 196 games, mean reward -20.430, speed 929.06 f/s
185728: done 197 games, mean reward -20.420, speed 967.73 f/s
187328: done 198 games, mean reward -20.440, speed 966.56 f/s
187840: done 199 games, mean reward -20.440, speed 947.74 f/s
188160: done 200 games, mean reward -20.440, speed 920.07 f/s
188480: done 201 games, mean reward -20.440, speed 942.87 f/s
188736: done 202 games, mean reward -20.440, speed 931.11 f/s
189760: done 203 games, mean reward -20.460, speed 946.32 f/s
