steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
52377	25	177.03281903266907	231.0	225.0	112.78790321267219	510.0	100.0	15.226061	2.0997948429584503	0.0038635612465441225	1.0
101191	47	335.64072847366333	485.0	525.0	221.92341021172146	930.0	150.0	51.50463	2.0127677204608916	0.0038187363184988498	1.0
150507	67	493.3793354034424	416.0	380.0	129.46041866145808	670.0	280.0	41.12672	2.0109203629493715	0.0037838875160863	1.0
201489	89	654.6871485710144	445.0	385.0	217.1660910711226	910.0	200.0	36.93199	1.9332295793294907	0.003855649381875992	1.0
252309	109	817.5307369232178	526.0	410.0	282.1425959412092	1060.0	230.0	48.95048	1.9473111411333084	0.0038901738682761786	1.0
300792	128	975.4374532699585	531.0	495.0	192.89893727027115	950.0	280.0	48.224205	1.8379668579101562	0.003941074328031391	1.0
350195	147	1136.8980643749237	513.0	485.0	155.78118557058735	750.0	260.0	11.01257	1.8170552136898042	0.0040010581691084166	1.0
402624	168	1301.2938423156738	493.0	430.0	138.728351664523	700.0	310.0	26.768661	1.8268125455379487	0.004052634915569797	1.0
452186	186	1463.5486886501312	566.0	550.0	191.49702637668062	1060.0	340.0	49.37754	1.8508027621507646	0.004063097302181026	1.0
500620	204	1626.2691099643707	617.0	590.0	240.00231480365164	1190.0	350.0	16.236214	1.8025533211231233	0.004098491172771901	1.0
550102	222	1792.5510370731354	861.0	680.0	531.1298230083572	2240.0	440.0	-3.3596349	1.8634534727334977	0.004150733288843185	1.0
600217	241	1956.837614774704	720.0	620.0	450.20982762361916	1830.0	340.0	68.07739	1.815281586766243	0.004162397759500891	1.0
650573	261	2123.0282349586487	613.0	610.0	143.68561359981575	870.0	410.0	66.70153	1.4460517498254777	0.004227640237659216	1.0
703208	280	2294.5947024822235	654.0	610.0	204.5700097494471	1100.0	450.0	43.434017	1.7536915319561959	0.0042682092962786555	1.0
750082	298	2454.366010904312	723.0	690.0	255.08386420504488	1180.0	290.0	18.662859	1.84419214117527	0.004282941622659564	1.0
800606	318	2621.8747324943542	631.0	540.0	218.7057891831449	1050.0	420.0	25.183334	1.725239775598049	0.004299339666031301	1.0
851160	336	2791.8208587169647	937.0	765.0	557.7942671312107	2040.0	380.0	85.32889	1.760106720328331	0.004280886356718838	1.0
902442	354	2958.913100719452	735.0	580.0	502.1343335093597	2100.0	320.0	29.772764	1.691279358267784	0.00425045877462253	1.0
